Date,Inflation Rate(%),Remittance (in Billons),Treasury Bill,Commercial Bank rates,CPI,Exchange Rate
2015-07,6.9,,,,,
2015-08,7.2,,,,,
2015-09,8.2,,,,,
2015-10,10.4,,,,,
2015-11,11.6,,,,,
2015-12,12.1,,,,,
2016-01,11.3,,,,110.46,108.3
2016-02,10.2,,,,109.8,109.5
2016-03,9.7,,,,109.18,105.8
2016-04,10,,,,109.35,106.2
2016-05,11.1,,1.34,3.44,111.48,107.4
2016-06,10.5,,0.12,0.36,112.44,108.1
2016-07,8.6,51.94,0.05,0.69,112.88,107.5
2016-08,7.9,114.74,0.44,0.82,115.7,107.36
2016-09,6.7,171.8,2.05,2.56,115.5,106.47
2016-10,4.8,232.14,2.12,3.27,115.66,106.5
2016-11,3.8,287.66,3.00,3.59,116.12,109.75
2016-12,3.2,342.23,2.34,2.67,115.13,108.73
2017-01,3.3,394.57,1.74,2.71,116.12,108.3
2017-02,2.9,449.99,2.64,4.13,115.13,107.1
2017-03,3.8,511.93,0.74,0.90,113.94,103.8
2017-04,3.4,566.97,0.93,0.75,113.38,103.1
2017-05,2.8,633.42,0.78,2.73,115.22,103.5
2017-06,2.7,695.45,1.03,2.46,115.57,103.3
2017-07,2.3,55.55,0.71,0.64,115.94,102.69
2017-08,3.4,115.55,0.55,0.29,118.34,102.2
2017-09,3.1,176.32,0.48,0.39,119.41,104.45
2017-10,3.9,228.95,1.18,1.13,119.24,103.59
2017-11,4.2,285.48,2.55,2.68,120.59,103.14
2017-12,4,340.54,5.51,4.83,119.92,102.19
2018-01,5,401.35,5.82,4.40,118.5,101.73
2018-02,6,471.86,3.93,4.31,119.04,104.29
2018-03,5.3,540.38,4.70,4.87,119.09,104.27
2018-04,6,606.68,4.98,4.12,119.51,106.66
2018-05,4.1,679.73,5.15,4.53,119.95,107.85
2018-06,4.2,755.06,4.38,4.18,120.32,109.54
2018-07,4.2,73.95,3.74,2.96,121.25,109.66
2018-08,3.9,154.2,3.34,1.88,123.3,113.58
2018-09,4.7,242.17,2.74,1.68,124.03,115.97
2018-10,4.2,312.26,1.77,1.86,124.82,118.32
2018-11,3.7,376.59,2.20,1.68,125.59,111.34
2018-12,4.6,443.36,1.00,1.20,124.37,111.63
2019-01,4.4,515.55,0.86,2.84,123.92,113.72
2019-02,4.2,582.19,3.44,5.82,124.22,113.15
2019-03,4.4,653.19,3.55,5.15,124.09,110.64
2019-04,5.3,725.3,4.44,5.28,124.81,111.3
2019-05,6.2,799.02,4.29,6.12,126.3,111.48
2019-06,7.1,879.27,5.50,6.91,127.74,110.42
2019-07,6.95,75.4,4.97,4.52,128.55,110.06
2019-08,6.16,153.73,0.21,1.19,131.87,114.24
2019-09,6.21,230.24,2.73,1.69,131.67,113.39
2019-10,5.76,304.97,4.33,4.62,132.56,113.47
2019-11,6.55,376.99,3.83,2.59,132.82,114.78
2019-12,6.82,447.26,1.64,0.78,132.51,114.21
2020-01,6.87,513.21,3.17,1.76,132.38,114.14
2020-02,6.7,592.42,3.91,4.59,132.76,115.55
2020-03,6.74,626.9,3.97,4.35,132.4,121.06
2020-04,5.83,680.84,2.13,2.13,133.22,120.18
2020-05,4.54,774.87,3.51,4.06,133.67,120.98
2020-06,6.15,875.03,2.81,2.80,133.54,120.8
2020-07,3.49,92.71,1.27,0.35,134.69,119.7
2020-08,4.52,165.73,0.21,0.02,136.48,117.78
